id,barcode,name,price
146,MATTRESS,214103400001,P 280.00
147,BED SHEED,214103500001,P 350.00
148,CHAIR PAD,214103600001,P 200.00
149,TOWEL 2=50,214103700001,P 50.00
150,TOWEL (3=50),214103800001,P 50.00
151,PILLOW CASE 2=200,214103900001,P 200.00
152,RAINCOAT,214104000001,P 550.00
153,BLANKET,214104100001,P 75.00
154,TABLE COVER,214104200001,P 100.00
155,TABLE COVER,214104300001,P 200.00
156,SANDAL/SLIPPER,215000400001,P 50.00
157,SANDAL/SLIPPER,215000500001,P 75.00
158,SANDAL/SLIPPER,215000600001,P 100.00
159,SANDAL/SLIPPER,215000700002,P 35.00
160,SANDAL/SLIPPER,215001000001,P 150.00
161,NECKLACE/EARRING,216000200001,P 150.00
162,XMAS SALE,216000300001,P 50.00
163,SHARPENER,216000400001,P 25.00
164,PERFUME,216000500001,P 80.00
165,NOTEBOOK,216000600002,P 35.00
166,FASHION RING,216000700001,P 100.00
167,GIFT BAG,216000800001,P 40.00
168,GIFT BAG/ORGANIZE,216000900001,P 50.00
169,C.LIGHTER,216001000001,P 60.00
170,SALE XMASLIGHT,216001100001,P 100.00
171,SALE XMASLIGHT,216001200001,P 120.00
172,EARRING,216001300002,P 200.00
173,EARRING,216001400001,P 250.00
174,NECKLACE,216001500001,P 300.00
175,BRACELET,216001600001,P 150.00
176,BRACELET/MIRROR,216001700001,P 35.00
177,C.ORGANIZER,216001800001,P 45.00
178,RING,216001900001,P 25.00
179,SALE XMAS LIGHT,216002100001,P 150.00
180,M. WATCH,216002200001,P 200.00
181,NECKLACE SET,216002300001,P 450.00
182,NECKLACE,216002400001,P 250.00
183,S.O'NIZER/CP STAN,216002500001,P 75.00
184,WATCH,216002600001,P 100.00
185,THERMOS/LUNCH BOX,216002700001,P 200.00
186,THERMOS,216002800001,P 250.00
187,WATER JUG,216002900001,P 150.00
188,PENCIL CASE,216003000001,P 100.00
189,NECKLACE SET,216003100001,P 500.00
190,CALENDAR,216003200001,P 20.00
191,CALENDAR,216003300001,P 40.00
192,CALENDAR,216003400001,P 50.00
193,H.BAND/PONY/CLAM,217000000001,P 15.00
194,PONYTAIL,217000100001,P 10.00
195,HAIRBAND,217000200001,P 20.00
196,CLAMS/PONY,217000200001,P 20.00
197,HAIRCLIP/P0NY,217000300001,P 25.00
198,HAIRCLIP/COMB,217000400001,P 30.00
199,KEY CHAIN/FAN,217000500002,P 40.00
200,KEY CHAIN,217000600001,P 30.00
201,EARRING,217000900001,P 150.00
202,HEADBAND,217001100001,P 100.00
203,HAIRBAND/ COMB,217001300001,P 35.00
204,HAIRCLIP,217001400001,P 40.00
205,HAIRBAND/PONY,217001500001,P 50.00
206,H.BAND,217001600001,P 80.00
207,EARRING,217001700001,P 20.00
208,EARRING,217001800001,P 30.00
209,RING/BRACELET,217002100001,P 280.00
210,BRACELET,217002200001,P 250.00
211,RING/BRACELET,217002300001,P 400.00
212,ENVELOPE/BALLPEN,217002400001,P 30.00
213,CRAYON(8),217002500001,P 40.00
214,STAPLER/STAMP,217002600001,P 50.00
215,CRAYON(16),217002700001,P 60.00
216,SALE XMASLIGHT,217002800001,P 80.00
217,T-SHIRT/SANDO,218000100001,P 80.00
218,BOXER SHORT,218000200001,P 80.00
219,SALE T-SHIRT,218000300001,P 100.00
220,M. SHORT,218000400002,P 100.00
