id,barcode,name,price
630,PONY/SET,214004100001,P 99.00
631,HAIRCLIP/SET,214004500001,P 149.00
632,M.RASHGUARD,218103600002,P 399.00
633,BLOUSE,213100800002,P 119.00
634,BACKPACK@K,214009200002,P 799.00
635,L.BACKPACK,214009500002,P 999.00
636,BLOUSE@L,213102500001,P 289.00
637,BLOUSE@L,213102300001,P 269.00
638,L.SKIRT@J,212103000001,P 299.00
639,M.POLO/JACKET,218102700001,P 299.00
640,L.SHORT,212102100001,P 119.00
641,L.SKIRT/SQ.PANTS,212102600001,P 229.00
642,BLS/DRESS,213103300001,P 369.00
643,BACKPACK@K,214006500002,P 349.00
644,K. POLO/T-SHIRT,219105600001,P 249.00
645,BRA SET,212101500002,P 149.00
646,K.HANDBAG,214006000001,P 299.00
647,BACKPACK,214006500002,P 349.00
648,L.SHORT@H,212102200001,P 139.00
649,T-SHIRT/SANDO,218101800001,P 219.00
650,S.PANTS,212102900002,P 279.00
651,BLOUSE@L,213102200001,P 259.00
652,BLOUSE@B,213101500002,P 179.00
653,SQ.PANTS,212102700001,P 259.00
654,SQ.PANTS/SKIRT,212104100001,P 399.00
655,SQ.PANTS/SKIRT,212104500001,P 559.00
656,POLO,218104000002,P 499.00
657,M. JACKET,218104200002,P 529.00
658,LEATHER JACKET,218104500002,P 639.00
659,T-SHIRT/POLO,218101100001,P 149.00
660,BLANKET,214105200001,P 249.00
661,BLANKET,214105000001,P 149.00
662,BLOUSE/L.TERNO,213103600001,P 499.00
663,L.RASHGUARD,213103500001,P 429.00
664,DRESS,213103700001,P 399.00
665,BACKPACK,214007800001,P 499.00
666,M.SWEATSHIRT,218102400002,P 279.00
667,BLOUSE,213102400001,P 279.00
668,K.T-SHIRT(B&C),219105800002,P 149.00
669,T-SHIRT,218102700001,P 299.00
670,TEENS DRESS,219105500001,P 229.00
671,K.TERNO,219105500001,P 229.00
672,K.TERNO,219106100002,P 299.00
673,M.SLACKS,218103800001,P 489.00
674,UNISEX JOGGER,218101900001,P 229.00
675,DRESS,213102600001,P 299.00
676,JUMPSHORT@G,213102900002,P 329.00
677,"K.SALE T/S,B/S",219105300001,P 99.00
678,M.RASHGUARD,218103100002,P 349.00
679,L.PANTS/SHORT,212102300002,P 249.00
680,JUMPSUIT/DRESS,213104500001,P 559.00
681,L.JACKET/BLOUSE,213103400001,P 379.00
682,M.JOGGER,218101400001,P 179.00
683,K.SHORT,219105600001,P 249.00
684,BLOUSE@X,213101800002,P 219.00
685,L.TERNO,213101600001,P 199.00
686,K.T-SHIRT,219106000001,P 179.00
687,SKIRT,212102800001,P 199.00
688,L.RASHGUARD,213102400001,P 279.00
689,K.PANTS/JUMPSUIT,219106300001,P 319.00
690,L.SHORT/S.PANTS,212104300002,P 369.00
691,BLOUSE/DRESS,213103800001,P 449.00
692,BLOUSE&PAJAMA,213100700001,P 109.00
693,BLOUSE,213100500001,P 89.00
694,K.POLO,219105200001,P 279.00
695,L.RASHGUARD@T,213103200001,P 369.00
696,POLO SHIRT,218103700001,P 449.00
697,L.RASHGUARD@T,213103000001,P 329.00
698,M.SLACKS,218102200001,P 249.00
699,K.KNITTED(SALE),219105800002,P 149.00
700,SQ.PANTS,212103100001,P 329.00
701,M.JACKET,218102000001,P 229.00
702,CARGO SHORT,218102800001,P 329.00
703,M.SHORT@A,218103500001,P 389.00
704,M.CARGO SHORT,218103400002,P 439.00
705,BLOUSE\DRESS,213103100002,P 349.00
706,ROMPER@G,213102700002,P 319.00
707,T-SHIRT,218101700002,P 199.00
708,BACKPACK,214008100002,P 549.00
709,BACKPACK@K,214006300002,P 329.00
710,BLOUSE,213103700001,P 399.00
711,L.SHORT/S.PANTS,212103200001,P 359.00
712,BAG/TROLLEY,214009300002,P 899.00
713,STUFF TOYS,214004300001,P 129.00
714,STUFF TOYS,21400500002,P 199.00
715,L.BAG@K,214005500001,P 249.00
716,STUFF TOYS,214004500001,P 149.00
717,BACKPACK@K,214006700002,P 369.00
718,STUFF TOYS,214009000002,P 599.00
719,STUFF TOYS,214006900001,P 399.00
720,STUFF TOYS,214009500002,P 999.00
721,K. BAG,214006900001,P 399.00
722,STUFF TOYS,214007500001,P 449.00
723,SLING BAG,214004300001,P 129.00
724,F. ACCESSORIES,217101000001,P199.00
725,F.ACCESSORIES,217102000001,P 299.00
726,DRESS,213104300001,P 549.00
727,DRESS/BLOUSE,213103500001,P 429.00
728,BACKPACK,214007500001,P 449.00
729,L.BAG@K,214005900001,P 289.00
730,BACKPACK,214006800001,P 389.00
731,M.RASHGUARD,218104300001,P 579.00
732,SPORT SHOES,215001500001,P 379.00
733,SPORT SHOES,215001600001,P 389.00
734,SPORT SHOES,215001400001,P 369.00
735,SLIP ON SHOES,215001200001,P 219.00
736,SLIP ON SHOES,215001700001,P 229.00
737,M.JOGGER@H,218102200001,P 249.00
738,T-SHIRT/SANDO,218101500001,P 189.00
739,BLOUSE/DRESS,213102700002,P 319.00
740,K.POLO,219106400002,P 349.00
741,K.JUMPER,219106500001,P 369.00
742,K.TERNO@L,219105900002,P 329.00
743,K.ROMPER@L,219106700001,P 259.00
744,K.DRESS@L,219106300001,P 319.00
745,K.TERNO,219106100002,P 299.00
746,M.MUSCLES@E,218104200002,P 529.00
747,M.SHORT,218103700001,P 449.00
748,DRESS/TERNO,213104200001,P 529.00
749,M.T-SHIRT(B&C),218101700002,P 199.00
750,K.SHORT,219105200001,P 279.00
751,K.BLOUSE,219106800001,P 269.00
752,L.SHORT/PANTS,212103300001,P 149.00
753,L.JACKET/CARDIGAN,213104200001,P 529.00
754,K.SHORT,219106900002,P 109.00
755,K.SWEATSHIRT,219107000002,P 129.00
756,K.T-SHIRT(B&C),219107100002,P 139.00
757,K.DRESS/BLS,219106700001,P 259.00
758,K.SHOES,215001800002,P179.00
759,SPORT SHOES,215001900002,P399.00
760,SPORT SHOES,215002000002,P329.00
761,SPORT SHOES,215002100002,P 449.00
762,LEATHER JACKET,218104600002,P 765.00
763,L.SHORT,212102000001,P 130.00
764,T-SHIRT@M,218101700001,P 209.00
765,L.JACKET@A,218104700002,"P 1,299.00"
766,SQ.PANTS/SKIRT,212103400001,P 349.00
767,L.PANTS/SQ. PANTS,212103000001,P 299.00
768,M.TERNO,218104800001,P 899.00
769,M.SHORT/T-SHIRT,218100900001,P 130.00
770,F.ACCESSORIES,217101100001,P 249.00
771,F.ACCESSORIES,217102100001,P 349.00
772,STUFF TOYS,214007800001,P 499.00
773,HAIRCLIP,217000700001,P 70.00
774,T-SHIRT@N,218103200001,P 309.00
775,L.JACKET,213104900001,P 765.00
776,M.CAP@E,218007500001,P 299.00
777,M.PANTS@Y,218103600001,P 399.00
778,SQ.PANTS/SKIRT,212103500001,P 379.00
779,M.JACKET,218104400001,P 599.00
780,DRESS/JUMPSUIT,213104400002,P 599.00
781,BACKPACK@K,214006100002,P 319.00
782,K.TERNO,219107000002,P 129.00
783,T-SHIRT(B&C),218101300001,P 169.00
784,PANTY(6IN1)#C,212002000001,P 180.00
785,BRIEF PACK#C,218101000002,P 139.00
786,BT SPEAKER,215002500001,P 120.00
787,XMAS LIGHT,215004000002,P 75.00
788,XMAS LIGHT,215004100002,P 99.00
789,BT SPEAKERLIGHT,215002600001,P 249.00
790,BT SPEAKERLIGHT,215002700001,P 399.00
791,XMAS LIGHT,215004200002,P 79.00
792,XMAS LIGHT,215004300002,P 129.00
793,XMASLIGHT,215004400002,P 149.00
794,XMASLIGHT,215004500002,P 179.00
795,XMASLIGHT,215004600002,P 229.00
796,XMASLIGHT,215004700002,P 259.00
797,XMASLIGHT,215004800002,P 299.00
798,BT LAMPSHADE,215002800001,P 499.00
799,K.BRIEF(2=50),219105100002,P 50.00
800,K.SHORT,219106000002,P 169.00
801,3D NIGHT LAMP,214004600002,P 165.00
802,3D NIGHT LAMP,215004400001,P165.00
803,KIDS PAJAMA,219105400002,P 80.00
804,LED SPEAKER,215002600002,P 199.00
805,BT SPEAKER,215004200001,P 89.00
806,PORTABLE FAN,215004200001,P 89.00
807,3DNIGHT LAMP,215004300001,P139.00
808,LOPTOPTABLEW/O,214100000002,P 269.00
809,CIGARETTE LIGHTER,214100200002,P 349.00
810,SOCKS 4=100,212002600002,P100.00
811,BLOUSE(B&C),213101700002,P 209.00
812,L.BLOUSE(B&C),213101300001,P 189.00
813,K.BLOUSE(B&C),213107100002,P 139.00
814,K.SHORT,219107100002,P 139.00
815,TEEN T-SHIRT(B&C),218101200001,P 159.00
816,BOXER SHORT,218100500001,P 70.00
817,L.SUMMER HAT,213003500002,P 50.00
818,S.TUMBLER,217102000002,P 300.00
819,K.TS/BLS,219105300002,P 69.00
820,M.JACKET,218104300002,P 549.00
821,PANTYPACK@Q,212002400002,P 200.00
822,BRIEFPACK@Q,218005400002,P160.00
823,BRIEFPACK@Q,218000500002,P130.00
824,K.BOXER(4=150),219106200002,P 150.00
825,BACKPACK,214003300002,P 520.00
826,JELLY BAG,214101300002,P 169.00
827,BACKPACK,214006900002,P 420.00
828,K.RASHGUARD/TERNO,219107200001,P 429.00
829,M.LONGSLEEVE,218001000001,P 200.00
830,DRESS/BLOUSE,213103400002,P 479.00
831,L.PANTS/SKORT,212104400001,P 429.00
832,PANTY 6IN1,212004300001,P 220.00
833,K.BOXER/SET,219106200001,P 149.00
834,BRIEF PACK,218006000002,P 230.00
835,SQ.PANTS/TOKONG,212103000002,P 289.00
836,SQ.PANTS,212103500002,P 389.00
837,T-SHIRT,218004200002,P 220.00
838,T-SHIRT,218001400001,P 239.00
839,K.BLOUSE,219105800001,P 189.00
840,T-SHIRT,218102300001,P 239.00
841,DRESS,213105000001,P 839.00
842,SKIRT/SQ.PANTS,212104400002,P 519.00
843,K.BAG,214009500001,"P 1,099.00"
844,K.BAG,214008100001,P 559.00
845,SALE BRIEF,218000700002,P 10.00
846,SAMPLE ONLY,100000000001,P 3.00
847,L.PANTS,212104200002,P 499.00
848,"K,TERNO",219107200002,P 519.00
849,K.DRESS,219107300001,P 479.00
850,K.BODY BAG,214006600001,P 359.00
851,K. TERNO,219106000002,P 169.00
852,BLOUSE/DRESS,213103200002,P 359.00
853,POLO SHIRT,218103700002,P 459.00
854,K.DRESS,219107400001,P 559.00
855,POLO SHIRT,218103400001,P 429.00
856,K.POLO,219106500002,P 359.00
857,M.PANTS,218104000001,P 509.00
858,L.PANTS,2104100002,P 419.00
859,M.SHORT,218100700001,P 109.00
860,PANTY 6N1,212004300002,P 240.00
861,K.POLO,219105500002,P 239.00
862,K. SALE KNITTED,219003500001,P 2=150
863,MD30640 M.SANDO,396838229990,P158.95
864,MC30661 M.SANDO,396838229991,P158.95
865,MD30642 M.SANDO,396838229992,P158.95
866,MD30660 M.SANDO,396838229993,P158.95
867,MC30703 M.SANDO,396838229994,P158.95
868,ME30746 M.TSHIRT,396838229995,P198.95
869,ME30747 M.TSHIRT,396838229996,P198.95
870,ME30750 M.TSHIRT,396838229997,P198.95
871,ME30749 M.TSHIRT,396838229998,P198.95
872,ME30751 M.TSHIRT,396838229999,P198.95
873,M30625 M.TSHIRT,396838230000,P168.95
874,M30558 M.TSHIRT,396838230001,P168.95
875,M30528 M.TSHIRT,396838230002,P168.95
876,M30533 M.TSHIRT,396838230003,P168.85
877,M30516 M.TSHIRT,396838230004,P168.85
878,L .SKIRT/L.SHORT,212104500002,P 439.00
879,BLOUSE/DRESS,213103800002,P 459.00
880,L.RASHGUARD,213103600002,P 499.00
881,R.SHORTS,218102400001,P 259.00
882,M.JOGGER,218102500002,P 279.00
883,S.SLIPPER,215001100002,P 130.00
884,BACKPACK,214009000001,P 669.00
885,K. BAG,214007000001,P 439.00
886,UMBRELLA,212007100002,P 300.00
887,M.JACKET,218104500001,P 649.00
888,BOXER,218000000002,P 75.00
889,L.SHORT,213000000002,P 75.00
890,SCARF,213001700001,P 130.00
891,L.SHORT/SKIRT,212104600001,P 459.00
892,"L,TERNO",213104900002,P 799.00
893,DRESS,213104600001,P 639.00
894,BLOUSE/DRESS,213103500002,P 419.00
895,M.LONG SLEEVE,218102400002,P 279.00
896,M.JACKET,218001000001,P 200.00
897,BLOUSE/DRESS,213103900001,P 439.00
898,K.BOYLEG 3=100,219001000001,P100.00
899,Q LADIES BLOUSE,212110100001,P 50
900,Q LADIES BLOUSE,212110200002,P 90
901,Q LADIES BLOUSE,212110300003,P 120
902,Q LADIES SKIRT,212110400004,P 60
903,Q LADIES PANTS,212110500005,P 249
904,Q KIDS SPAG TERNO,212110600006,P 80
905,Q KID MIXUP SHIRT,212110700007,P 130
906,Q MEN CARGO PANTS,212110800008,P 149
907,DRESS/L.TERNO,213104700001,P 659.00
908,L.TERNO,213104800002,P 720.00
909,DRESS W/ SHAWL,213105000002,"P 1,059.00"
910,L.SHORT,212104300001,P 439.00
911,L.TERNO RASHGUARD,213104600001,P 639.00
912,M.TSHIRT W/C,218103600002,P 399.00
